Year,Car Title,Car Model,Mileage,Fuel Type,Ownership,EMI Info,Current Price,Original Price,Location
2019,Renault TRIBER,RXZ,"59,437 km",Petrol,1st Owner,"10,127/m",5.18L,9.79L,"Atal Ph, Pna"
2022,Renault TRIBER,RXZ,"5,381 km",Petrol,1st Owner,"12,444/m",6.37L,9.79L,"Atal Ph, Pna"
2018,Mahindra XUV500,W11 AT,"87,832 km",Diesel,2nd Owner,"19,377/m",10.18L,9.79L,"Sachin Magdalla Road, Sur"
2023,Renault Kwid,CLIMBER AMT 1.0,"4,588 km",Petrol,1st Owner,"10,773/m",5.51L,5.99L,"Sachin Magdalla Road, Sur"
2016,Renault Kwid,RXL,"58,987 km",Petrol,2nd Owner,"4,477/m",2.29L,5.99L,"Sachin Magdalla Road, Sur"
2017,Mahindra Kuv100,K2 PLUS D 6 STR,"86,565 km",Diesel,2nd Owner,"6,354/m",3.25L,3.64L,"Sachin Magdalla Road, Sur"
2018,Mahindra XUV500,W10,"90,195 km",Diesel,2nd Owner,"15,970/m",8.39L,8.70L,"Sachin Magdalla Road, Sur"
2021,Mahindra Thar,LX D 4*4 MT HT,"43,315 km",Diesel,1st Owner,"22,194/m",11.66L,12.19L,"Sachin Magdalla Road, Sur"
2018,Jeep Compass,LIMITED 2.0 DIESEL,"96,371 km",Diesel,2nd Owner,"15,926/m",8.37L,9.22L,"Sachin Magdalla Road, Sur"
2020,Renault TRIBER,RXZ,"30,916 km",Petrol,1st Owner,"10,592/m",5.42L,5.90L,"Sachin Magdalla Road, Sur"
2021,Mahindra XUV300,W8 (O) 1.2 PETROL,"21,374 km",Petrol,1st Owner,"16,738/m",8.79L,9.86L,"Sachin Magdalla Road, Sur"
2022,Mahindra XUV300,W8 (O) 1.2 PETROL,"16,155 km",Petrol,1st Owner,"19,814/m",10.41L,12.18L,"Sachin Magdalla Road, Sur"
2019,Jeep Compass,LIMITED PLUS PETROL AT,"55,119 km",Petrol,1st Owner,"27,035/m",14.20L,16.66L,"Sachin Magdalla Road, Sur"
2017,Renault Duster,110 PS RXZ DIESEL,"42,459 km",Diesel,1st Owner,"11,417/m",5.84L,7.13L,"Sachin Magdalla Road, Sur"
2021,Mahindra XUV300,W8 (O) 1.2 PETROL,"17,357 km",Petrol,1st Owner,"16,921/m",8.89L,9.96L,"Sachin Magdalla Road, Sur"
2022,Renault TRIBER,RXT LIMITED EDITION,"41,652 km",Petrol,1st Owner,"12,043/m",6.16L,7.32L,"Sachin Magdalla Road, Sur"
2022,Renault Kwid,RXT 1.0,"39,021 km",Petrol,1st Owner,"9,165/m",4.69L,5.32L,"Sachin Magdalla Road, Sur"
2019,Renault TRIBER,RXZ,"32,097 km",Petrol,1st Owner,"12,065/m",6.17L,6.83L,"Sachin Magdalla Road, Sur"
2023,Renault TRIBER,RXT,"8,367 km",Petrol,1st Owner,"13,085/m",6.69L,7.61L,"Sachin Magdalla Road, Sur"
2021,Jeep Compass,LIMITED (O) 1.4 PETROL AT,"24,646 km",Petrol,1st Owner,"32,320/m",16.98L,18.43L,"Sachin Magdalla Road, Sur"
2022,Mahindra XUV300,W6 1.2 PETROL,"14,549 km",Petrol,1st Owner,"15,836/m",8.32L,9.43L,"Sachin Magdalla Road, Sur"
2021,Renault Kwid,RXT 1.0 AMT (O),"10,797 km",Petrol,1st Owner,"8,934/m",4.57L,5.30L,"Sachin Magdalla Road, Sur"
2020,Mahindra Thar,LX D 4WD MT CONVERTIBLE,"11,003 km",Diesel,1st Owner,"23,431/m",12.31L,5.30L,"M3M Urbana, Golf Course Ext., Gurugram"
2020,Mahindra Scorpio,S11 2WD,"38,501 km",Diesel,1st Owner,"30,148/m",15.84L,16.53L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2022,Mahindra XUV700,AX 7 LUXURY D AWD AT 7 STR,"62,567 km",Diesel,1st Owner,"44,197/m",23.22L,16.53L,"Metro Walk, Rohini, New Delhi"
2023,Renault TRIBER,RXL MT,"6,843 km",Petrol,1st Owner,"12,428/m",6.36L,6.92L,"M3M Urbana, Golf Course Ext., Gurugram"
2021,Mahindra XUV500,W7 AT,"25,366 km",Diesel,1st Owner,"26,644/m",14.00L,6.92L,"M3M Urbana, Golf Course Ext., Gurugram"
2020,Renault TRIBER,RXZ,"34,646 km",Petrol,1st Owner,"11,618/m",5.94L,6.59L,"M3M Urbana, Golf Course Ext., Gurugram"
2020,Mahindra KUV 100 NXT,K2+ P 6 STR,"19,376 km",Petrol,1st Owner,"9,269/m",4.74L,5.77L,"Metro Walk, Rohini, New Delhi"
2016,Renault Kwid,RXT 1.0 (O),"20,063 km",Petrol,1st Owner,"5,126/m",2.62L,5.77L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2021,Renault Kwid,RXT 1.0 (O),"46,746 km",,1st Owner,"7,234/m",3.70L,3.96L,"Metro Walk, Rohini, New Delhi"
2021,Mahindra Thar,LX D AT 4WD HT,"62,619 km",Diesel,1st Owner,"24,878/m",13.07L,3.96L,"Metro Walk, Rohini, New Delhi"
2019,Renault TRIBER,RXL MT,"33,392 km",Petrol,1st Owner,"9,599/m",4.91L,5.72L,"Metro Walk, Rohini, New Delhi"
2017,Renault Kwid,CLIMBER 1.0 AMT,"41,308 km",Petrol,1st Owner,"5,593/m",2.86L,3.27L,"Metro Walk, Rohini, New Delhi"
2021,Mahindra Thar,LX PETROL HT 4WD AT,"42,201 km",Petrol,1st Owner,"26,172/m",13.75L,14.70L,"Sector-18, Noida"
2021,Renault Kiger,RXZ TURBO MT,"46,375 km",Petrol,2nd Owner,"12,788/m",6.54L,7.91L,"Sector-18, Noida"
2021,Renault Kiger,RXZ AMT,"30,195 km",Petrol,1st Owner,"13,904/m",7.11L,7.90L,"M3M Urbana, Golf Course Ext., Gurugram"
2020,Jeep Compass,SPORT PLUS 1.4 PETROL,"76,041 km",Petrol,1st Owner,"20,976/m",11.02L,12.40L,"M3M Urbana, Golf Course Ext., Gurugram"
2019,Mahindra XUV500,W5,"45,630 km",Diesel,1st Owner,"21,977/m",10.11L,10.85L,"Sector-18, Noida"
2020,Mahindra XUV300,W6 1.2 PETROL,"40,924 km",Petrol,1st Owner,"13,731/m",7.02L,7.60L,"Metro Walk, Rohini, New Delhi"
2019,Jeep Compass,SPORT 2.0 DIESEL,"93,467 km",Diesel,1st Owner,"21,286/m",9.79L,11.51L,"Chharpur, Delhi"
2021,Mahindra Thar,LX PETROL HT 4WD AT,"31,332 km",Petrol,1st Owner,"25,916/m",13.62L,14.35L,"Metro Walk, Rohini, New Delhi"
